Algorithm,Lambda,Run,Hospitals,TotalCost,Time
HC,1.000000,1,57,2832.641039,0.371000
SA,1.000000,1,57,2833.592493,0.471000
HC,1.000000,2,58,2834.237914,0.361000
SA,1.000000,2,57,2833.237914,0.359000
HC,1.000000,3,58,2840.140004,0.252000
SA,1.000000,3,60,2836.237914,0.314000
HC,1.000000,4,57,2833.878638,0.220000
SA,1.000000,4,57,2832.828560,0.296000
HC,1.000000,5,56,2857.152504,0.250000
SA,1.000000,5,57,2833.237914,0.325000
HC,1.000000,6,57,2833.592493,0.236000
SA,1.000000,6,57,2832.187837,0.308000
HC,1.000000,7,58,2833.951769,0.227000
SA,1.000000,7,57,2832.951769,0.298000
HC,1.000000,8,58,2833.187837,0.237000
SA,1.000000,8,57,2832.995617,0.277000
HC,1.000000,9,58,2834.592493,0.218000
SA,1.000000,9,57,2832.354893,0.280000
HC,1.000000,10,58,2833.951769,0.220000
SA,1.000000,10,57,2833.281762,0.265000
HC,10.000000,1,47,3304.264902,0.181000
SA,10.000000,1,47,3315.240914,0.255000
HC,10.000000,2,48,3347.033469,0.185000
SA,10.000000,2,46,3302.630818,0.238000
HC,10.000000,3,47,3303.830859,0.197000
SA,10.000000,3,46,3302.579498,0.235000
HC,10.000000,4,46,3301.223613,0.291000
SA,10.000000,4,46,3307.554513,0.236000
HC,10.000000,5,45,3299.566878,0.177000
SA,10.000000,5,46,3305.871907,0.235000
HC,10.000000,6,45,3351.803889,0.189000
SA,10.000000,6,45,3299.208273,0.231000
HC,10.000000,7,45,3299.566878,0.178000
SA,10.000000,7,45,3291.448862,0.232000
HC,10.000000,8,45,3304.782479,0.181000
SA,10.000000,8,45,3299.566878,0.227000
HC,10.000000,9,47,3315.871907,0.188000
SA,10.000000,9,45,3298.366999,0.227000
HC,10.000000,10,47,3307.753892,0.189000
SA,10.000000,10,46,3305.871907,0.222000
HC,50.000000,1,27,4731.463482,0.115000
SA,50.000000,1,26,4686.535532,0.149000
HC,50.000000,2,27,4719.885328,0.126000
SA,50.000000,2,26,4758.771787,0.154000
HC,50.000000,3,27,4820.717332,0.111000
SA,50.000000,3,28,4771.356050,0.159000
HC,50.000000,4,26,4706.535690,0.113000
SA,50.000000,4,26,4713.822365,0.152000
HC,50.000000,5,25,4726.014829,0.111000
SA,50.000000,5,28,4722.424044,0.157000
HC,50.000000,6,27,4763.683027,0.119000
SA,50.000000,6,26,4833.596446,0.147000
HC,50.000000,7,26,4761.582468,0.107000
SA,50.000000,7,27,4702.293134,0.154000
HC,50.000000,8,27,4844.639410,0.107000
SA,50.000000,8,28,4866.227183,0.145000
HC,50.000000,9,30,4777.945115,0.124000
SA,50.000000,9,28,4798.125241,0.155000
HC,50.000000,10,25,4727.957377,0.107000
SA,50.000000,10,27,4727.571523,0.159000
HC,100.000000,1,23,6166.946867,0.091000
SA,100.000000,1,22,6028.386198,0.133000
HC,100.000000,2,23,6116.837168,0.122000
SA,100.000000,2,23,6126.331810,0.144000
HC,100.000000,3,21,6125.827160,0.112000
SA,100.000000,3,21,6012.609224,0.152000
HC,100.000000,4,22,6058.010720,0.125000
SA,100.000000,4,22,6057.888369,0.142000
HC,100.000000,5,23,6064.663550,0.099000
SA,100.000000,5,21,6107.678530,0.131000
HC,100.000000,6,21,6084.849328,0.089000
SA,100.000000,6,22,6025.858668,0.131000
HC,100.000000,7,23,6170.912287,0.095000
SA,100.000000,7,23,5986.529595,0.133000
HC,100.000000,8,20,6013.073991,0.082000
SA,100.000000,8,20,5965.933093,0.116000
HC,100.000000,9,22,6099.649344,0.092000
SA,100.000000,9,22,6248.755312,0.142000
HC,100.000000,10,22,6061.580597,0.089000
SA,100.000000,10,21,6015.147006,0.127000
